Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,72.669998,74.220001,71.070000,74.000000,74.000000,3293400
2020-01-31,73.190002,74.919998,70.209999,71.199997,71.199997,3216700
2020-02-03,71.919998,73.459999,71.120003,71.419998,71.419998,1476500
2020-02-04,72.750000,74.290001,72.370003,73.449997,73.449997,1194800
2020-02-05,74.650002,75.550003,73.070000,73.500000,73.500000,1304900
2020-02-06,74.500000,74.699997,70.879997,71.500000,71.500000,1409600
2020-02-07,71.500000,71.519997,67.959999,67.959999,67.959999,2148800
2020-02-10,67.750000,69.300003,64.650002,65.769997,65.769997,2283100
2020-02-11,66.209999,70.599998,65.800003,70.599998,70.599998,2144600
2020-02-12,70.800003,72.120003,69.660004,70.930000,70.930000,2461000
